SECTION 1: MARKET PRICES
Run,Mean (EUR/MWH),Wtd Avg (EUR/MWH),% Hours = 0,% Hours < 0,% Hours > 100,Max (EUR/MWH),Std Dev,N Hours
mpvar_reduced_low_co2,10,PV,FIT,120.0,24.5766,0.2048,95.4234,28620165.0
mpvar_reduced_low_co2,20,WindOn,FIT,85.0,24.5766,0.2891,60.4234,4405513.0
mpvar_reduced_low_co2,50,RunOfRiver,FIT,100.0,24.5766,0.2458,75.4234,15923598.0
mpvar_reduced_low_co2,60,PV,MPVAR,97.21,24.5766,0.2528,72.6334,7415703.0
mpvar_reduced_low_co2,61,PV,MPVAR,202.91,24.5766,0.1211,178.3334,3938492.0
mpvar_reduced_low_co2,62,PV,MPVAR,286.67,24.5766,0.0857,262.0934,1137356.0
mpvar_reduced_low_co2,63,PV,MPVAR,340.07,24.5766,0.0723,315.4934,745620.0
mpvar_reduced_low_co2,64,PV,MPVAR,440.05,24.5766,0.0558,415.4734,182223.0
mpvar_reduced_low_co2,70,WindOn,MPVAR,70.58,24.5766,0.3482,46.0034,7183509.0
mpvar_reduced_low_co2,71,WindOn,MPVAR,79.65,24.5766,0.3086,55.0734,10706192.0
mpvar_reduced_low_co2,72,WindOn,MPVAR,87.24,24.5766,0.2817,62.6634,26385582.0
mpvar_reduced_low_co2,73,WindOn,MPVAR,94.17,24.5766,0.261,69.5934,27386196.0
mpvar_reduced_low_co2,74,WindOn,MPVAR,100.26,24.5766,0.2451,75.6834,23915784.0
mpvar_reduced_low_co2,80,WindOff,MPVAR,154.0,24.5766,0.1596,129.4234,2185081.0
mpvar_reduced_low_co2,81,WindOff,MPVAR,174.5,24.5766,0.1408,149.9234,256495.0
mpvar_reduced_low_co2,82,WindOff,MPVAR,184.0,24.5766,0.1336,159.4234,6844208.0
mpvar_reduced_low_co2,83,WindOff,MPVAR,194.0,24.5766,0.1267,169.4234,15078036.0
mpvar_reduced_high_co2,10,PV,FIT,120.0,64.3411,0.5362,55.6589,28620165.0
mpvar_reduced_high_co2,20,WindOn,FIT,85.0,64.3411,0.757,20.6589,4405513.0
mpvar_reduced_high_co2,50,RunOfRiver,FIT,100.0,64.3411,0.6434,35.6589,15923598.0
mpvar_reduced_high_co2,60,PV,MPVAR,97.21,64.3411,0.6619,32.8689,7416065.0
mpvar_reduced_high_co2,61,PV,MPVAR,202.91,64.3411,0.3171,138.5689,3938684.0
mpvar_reduced_high_co2,62,PV,MPVAR,286.67,64.3411,0.2244,222.3289,1137412.0
mpvar_reduced_high_co2,63,PV,MPVAR,340.07,64.3411,0.1892,275.7289,745656.0
mpvar_reduced_high_co2,64,PV,MPVAR,440.05,64.3411,0.1462,375.7089,182232.0
